year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
2004,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,200.0,no,0.0,50,180.0,210.0,170.0,220.0,210.0,20.0,0.551,0.577,0.14,0.911,116,0.0,9.53,8,0,"[7,11]",,221.0,21.0
2004,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,240.0,no,0.0,50,220.0,250.0,210.0,250.0,245.0,20.0,0.54,0.54,0.115,0.9,115,0.0,7.89,7,0,"[7,11]",,258.0,18.0
2004,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,270.0,no,0.0,50,259.0,280.0,250.0,290.0,277.5,20.0,0.532,0.556,0.147,0.892,117,0.0,10.98,10,0,"[3,11]",,293.0,23.0
2004,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,310.0,no,0.0,50,299.0,330.0,290.0,330.0,320.0,20.0,0.435,0.453,0.144,0.795,118,0.0,8.93,8,0,"[5,11]",,328.0,18.0
2004,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,340.0,300.0,340.0,335.0,20.0,0.6,0.631,0.208,0.96,122,0.0,14.5,13,0,"[4,13]",,332.0,2.0
2004,62,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,360.0,320.0,360.0,335.0,20.0,0.544,0.565,0.168,0.904,118,0.0,12.63,11,0,"[5,12]",,338.0,8.0
2004,63,Avon-Tri-Village / Wimble Shoals,330.0,330.0,330.0,no,0.0,50,320.0,370.0,320.0,370.0,335.0,20.0,0.597,0.637,0.196,0.957,119,0.0,9.06,8,0,"[6,12]",SCATTER_SETBACK(50m),342.0,12.0
2004,64,Avon-Tri-Village / Wimble Shoals,370.0,370.0,370.0,no,0.0,50,348.0,370.0,330.0,380.0,375.0,20.0,0.653,0.682,0.197,1.013,119,0.0,9.08,8,0,"[5,13]",,347.0,-23.0
2004,65,Avon-Tri-Village / Wimble Shoals,370.0,370.0,370.0,no,0.0,50,359.0,370.0,350.0,380.0,375.0,20.0,0.582,0.596,0.184,0.942,122,0.0,11.47,10,0,"[3,11]",,352.0,-18.0
2004,66,Avon-Tri-Village / Wimble Shoals,380.0,380.0,380.0,no,0.0,50,370.0,390.0,360.0,400.0,385.0,20.0,0.47,0.459,0.153,0.83,121,0.0,14.55,13,0,"[5,13]",,381.0,1.0
