scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses,topo_product,topo_version
2004 initial,initial,64,370.0,FITS,False,0.0,0.0,0.0,0.0,0.0,37,39,40,138,62,65,70,94,910.0,HOLED,100.0,43,1,,,,,2004-start,v1
2004 initial,initial,65,370.0,FITS,False,0.0,0.0,0.0,0.0,0.0,37,39,40,139,60,69,77,114,810.0,HOLED,100.0,33,1,,,,,2004-start,v1
2004 initial,initial,66,380.0,FITS,False,0.0,0.0,0.0,0.0,0.0,38,40,41,131,67,70,72,85,670.0,HOLED,100.0,13,2,,,,,2004-start,v1
2004 initial,initial,67,420.0,FITS,False,0.0,0.0,0.0,0.0,0.0,42,44,45,144,46,67,68,71,640.0,MIXED,26.0,0,1,,,,,2004-start,v1
2004 initial,initial,68,555.0,FITS,False,2.0,2.0,2.0,0.0,8.0,55,57,58,99,46,61,72,90,610.0,MIXED,46.0,0,1,,,,,2004-start,v1
2004 initial,initial,69,560.0,FITS,False,0.0,0.0,0.0,0.0,0.0,56,58,59,104,68,70,75,90,720.0,HOLED,88.0,7,1,,,,,2004-start,v1
2004 initial,initial,70,480.0,FITS,False,0.0,0.0,0.0,0.0,0.0,48,50,51,140,54,69,72,78,670.0,HOLED,54.0,1,1,,,,,2004-start,v1
2004 initial,initial,71,410.0,FITS,False,2.0,0.0,2.0,2.0,8.0,41,43,44,137,39,55,73,82,670.0,HOLED,78.0,3,1,,,,,2004-start,v1
2004 initial,initial,72,490.0,FITS,False,0.0,0.0,0.0,0.0,0.0,49,51,52,123,70,79,82,93,760.0,MIXED,48.0,0,2,,,,,2004-start,v1
2004 initial,initial,73,550.0,FITS,False,0.0,0.0,0.0,0.0,22.0,55,57,58,132,22,25,84,99,850.0,HOLED,76.0,8,9,,,,,2004-start,v1
2004 initial,initial,74,600.0,FITS,False,0.0,0.0,0.0,0.0,20.0,60,62,63,132,23,62,74,88,710.0,HOLED,72.0,4,2,,,,,2004-start,v1
