transect_id,gis,dune_vintage,dune_chainage_m,n_crossings,shoreline_chainage_m,beach_width_m
usa_NC_0032_0111,10,2009,8.85,1,36.44,27.60
usa_NC_0032_0111,10,2023,8.53,1,70.99,62.46
usa_NC_0032_0112,10,1997,44.42,1,65.46,21.04
usa_NC_0032_0112,10,2009,9.34,1,29.62,20.28
usa_NC_0032_0112,10,2023,9.70,1,70.80,61.10
usa_NC_0032_0113,10,1997,42.60,1,62.98,20.38
usa_NC_0032_0113,10,2009,6.95,1,27.08,20.13
usa_NC_0032_0113,10,2023,6.11,1,70.27,64.15
usa_NC_0032_0114,10,1997,45.20,1,63.76,18.56
usa_NC_0032_0114,10,2009,5.99,1,26.90,20.91
usa_NC_0032_0114,10,2023,2.18,1,71.24,69.06
usa_NC_0032_0115,11,1997,50.44,1,70.15,19.71
usa_NC_0032_0115,11,2009,6.86,1,31.27,24.41
usa_NC_0032_0115,11,2023,6.80,1,74.18,67.38
usa_NC_0032_0116,11,1997,52.98,1,69.22,16.24
usa_NC_0032_0116,11,2009,3.51,1,22.47,18.96
usa_NC_0032_0116,11,2023,7.40,1,73.09,65.68
usa_NC_0032_0117,11,1997,56.56,1,71.65,15.09
usa_NC_0032_0117,11,2009,2.62,1,27.50,24.88
usa_NC_0032_0117,11,2023,10.27,1,74.00,63.73
usa_NC_0032_0118,11,1997,56.78,1,66.03,9.24
usa_NC_0032_0118,11,2009,1.32,1,30.18,28.85
usa_NC_0032_0118,11,2023,12.95,1,74.42,61.47
usa_NC_0032_0119,11,1997,54.79,1,60.15,5.36
usa_NC_0032_0119,11,2009,-2.95,1,25.65,28.60
usa_NC_0032_0119,11,2023,12.79,1,70.21,57.42
usa_NC_0032_0120,11,1997,52.54,1,61.33,8.78
usa_NC_0032_0120,11,2009,-5.04,1,22.95,27.99
usa_NC_0032_0120,11,2023,10.27,1,65.67,55.40
usa_NC_0032_0121,11,1997,55.35,1,61.95,6.60
usa_NC_0032_0121,11,2009,-1.41,1,28.12,29.53
usa_NC_0032_0121,11,2023,12.59,1,65.60,53.01
usa_NC_0032_0122,11,1997,52.96,1,58.48,5.53
usa_NC_0032_0122,11,2009,-2.97,1,24.95,27.92
usa_NC_0032_0122,11,2023,9.72,1,60.50,50.78
usa_NC_0032_0123,11,1997,50.35,1,63.85,13.50
usa_NC_0032_0123,11,2009,-6.87,1,22.18,29.05
usa_NC_0032_0123,11,2023,10.20,1,61.65,51.45
usa_NC_0032_0124,11,1997,53.38,1,67.63,14.25
usa_NC_0032_0124,11,2009,-11.16,1,26.33,37.50
usa_NC_0032_0124,11,2023,14.11,1,68.11,54.00
