year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,7,29,19.05,21,19.5
1984,v3,7,30,19.02,21,19.8
1984,v3,7,31,19.0,21,20.0
1984,v3,7,32,18.98,21,20.2
1984,v3,7,33,19.95,22,20.5
1984,v3,7,34,19.93,22,20.7
1984,v3,7,35,19.9,22,21.0
1984,v3,7,36,19.92,22,20.8
1984,v3,7,37,19.96,22,20.4
1984,v3,7,38,20.0,21,10.0
1984,v3,7,39,20.04,21,9.6
1984,v3,7,40,20.08,22,19.2
1984,v3,7,41,20.12,21,8.8
1984,v3,7,42,20.16,21,8.4
1984,v3,7,43,20.2,21,8.0
1984,v3,7,44,21.15,22,8.5
1984,v3,7,45,21.07,22,9.3
1984,v3,7,46,20.99,22,10.1
1984,v3,7,47,20.9,22,11.0
1984,v3,7,48,20.82,22,11.8
1984,v3,7,49,20.73,21,2.7
1984,v3,8,0,26.61,27,3.9
1984,v3,8,1,26.52,27,4.8
1984,v3,8,2,26.44,27,5.6
1984,v3,8,3,26.35,26,-3.5
1984,v3,8,4,27.27,27,-2.7
1984,v3,8,5,27.17,27,-1.7
1984,v3,8,6,27.08,27,-0.8
1984,v3,8,7,26.98,27,0.2
1984,v3,8,8,26.89,27,1.1
1984,v3,8,9,26.79,27,2.1
1984,v3,8,10,26.69,27,3.1
1984,v3,8,11,26.6,27,4.0
1984,v3,8,12,26.5,27,5.0
1984,v3,8,13,26.41,27,5.9
1984,v3,8,14,27.31,27,-3.1
1984,v3,8,15,27.22,27,-2.2
1984,v3,8,16,27.12,27,-1.2
1984,v3,8,17,27.03,27,-0.3
1984,v3,8,18,26.93,27,0.7
1984,v3,8,19,26.83,26,-8.3
1984,v3,8,20,26.74,27,2.6
1984,v3,8,21,26.64,26,-6.4
1984,v3,8,22,26.55,26,-5.5
1984,v3,8,23,26.31,26,-3.1
1984,v3,8,24,26.99,27,0.1
1984,v3,8,25,26.67,26,-6.7
1984,v3,8,26,26.35,26,-3.5
1984,v3,8,27,26.03,27,9.7
1984,v3,8,28,25.71,26,2.9
1984,v3,8,29,25.39,27,16.1
1984,v3,8,30,25.07,25,-0.7
1984,v3,8,31,24.75,25,2.5
1984,v3,8,32,24.43,25,5.7
1984,v3,8,33,24.11,25,8.9
1984,v3,8,34,24.79,26,12.1
1984,v3,8,35,24.47,26,15.3
1984,v3,8,36,24.15,26,18.5
1984,v3,8,37,23.83,26,21.7
1984,v3,8,38,23.51,26,24.9
1984,v3,8,39,23.19,26,28.1
1984,v3,8,40,22.87,26,31.3
1984,v3,8,41,22.56,26,34.4
1984,v3,8,42,22.3,26,37.0
1984,v3,8,43,22.24,26,37.6
1984,v3,8,44,23.18,27,38.2
1984,v3,8,45,23.11,27,38.9
1984,v3,8,46,23.05,26,29.5
1984,v3,8,47,22.99,25,20.1
1984,v3,8,48,22.92,26,30.8
1984,v3,8,49,22.86,26,31.4
1984,v3,9,0,20.05,23,29.5
1984,v3,9,1,19.99,22,20.1
1984,v3,9,2,19.93,22,20.7
1984,v3,9,3,19.86,22,21.4
1984,v3,9,4,19.8,22,22.0
1984,v3,9,5,19.74,22,22.6
1984,v3,9,6,20.68,23,23.2
1984,v3,9,7,20.72,23,22.8
1984,v3,9,8,20.77,23,22.3
1984,v3,9,9,20.83,23,21.7
1984,v3,9,10,20.88,23,21.2
1984,v3,9,11,20.94,23,20.6
1984,v3,9,12,21.0,22,10.0
1984,v3,9,13,21.05,22,9.5
1984,v3,9,14,22.11,23,8.9
1984,v3,9,15,22.12,22,-1.2
1984,v3,9,16,22.04,23,9.6
1984,v3,9,17,21.97,23,10.3
1984,v3,9,18,21.89,23,11.1
1984,v3,9,19,21.81,23,11.9
1984,v3,9,20,21.74,22,2.6
1984,v3,9,21,21.66,22,3.4
1984,v3,9,22,22.58,23,4.2
1984,v3,9,23,22.5,23,5.0
1984,v3,9,24,22.43,23,5.7
1984,v3,9,25,22.35,23,6.5
1984,v3,9,26,22.27,23,7.3
1984,v3,9,27,22.2,23,8.0
1984,v3,9,28,22.05,23,9.5
1984,v3,9,29,21.9,23,11.0
1984,v3,9,30,22.74,23,2.6
1984,v3,9,31,22.59,23,4.1
1984,v3,9,32,22.44,23,5.6
1984,v3,9,33,22.29,23,7.1
1984,v3,9,34,22.13,23,8.7
1984,v3,9,35,21.98,23,10.2
1984,v3,9,36,21.83,23,11.7
1984,v3,9,37,21.66,23,13.4
1984,v3,9,38,22.47,23,5.3
1984,v3,9,39,22.28,23,7.2
1984,v3,9,40,22.09,23,9.1
1984,v3,9,41,21.9,23,11.0
1984,v3,9,42,21.71,23,12.9
1984,v3,9,43,21.52,23,14.8
1984,v3,9,44,21.33,23,16.7
1984,v3,9,45,21.14,22,8.6
1984,v3,9,46,21.95,23,10.5
1984,v3,9,47,21.76,23,12.4
1984,v3,9,48,21.57,23,14.3
1984,v3,9,49,21.38,23,16.2
1984,v3,10,0,21.51,23,14.9
1984,v3,10,1,21.32,23,16.8
1984,v3,10,2,21.12,22,8.8
1984,v3,10,3,20.85,22,11.5
1984,v3,10,4,21.57,23,14.3
1984,v3,10,5,21.29,23,17.1
1984,v3,10,6,21.01,23,19.9
1984,v3,10,7,20.74,21,2.6
1984,v3,10,8,20.46,22,15.4
1984,v3,10,9,20.18,22,18.2
1984,v3,10,10,20.91,23,20.9
1984,v3,10,11,20.63,23,23.7
1984,v3,10,12,20.35,23,26.5
1984,v3,10,13,20.2,23,28.0
1984,v3,10,14,20.09,23,29.1
1984,v3,10,15,19.97,22,20.3
1984,v3,10,16,20.86,23,21.4
1984,v3,10,17,20.74,24,32.6
1984,v3,10,18,20.63,23,23.7
1984,v3,10,19,20.52,23,24.8
1984,v3,10,20,20.4,23,26.0
1984,v3,10,21,20.29,23,27.1
1984,v3,10,22,21.17,24,28.3
1984,v3,10,23,21.06,24,29.4
1984,v3,10,24,20.94,23,20.6
1984,v3,10,25,20.83,23,21.7
1984,v3,10,26,20.72,23,22.8
1984,v3,10,27,20.6,23,24.0
1984,v3,10,28,21.49,24,25.1
1984,v3,10,29,21.37,24,26.3
1984,v3,10,30,21.26,21,-2.6
1984,v3,10,31,21.14,23,18.6
1984,v3,10,32,21.03,23,19.7
1984,v3,10,33,20.92,23,20.8
1984,v3,10,34,21.8,24,22.0
1984,v3,10,35,21.69,23,13.1
1984,v3,10,36,21.57,23,14.3
1984,v3,10,37,21.46,23,15.4
1984,v3,10,38,21.34,23,16.6
1984,v3,10,39,21.23,23,17.7
1984,v3,10,40,22.12,24,18.8
1984,v3,10,41,22.0,24,20.0
1984,v3,10,42,21.89,24,21.1
1984,v3,10,43,21.77,24,22.3
1984,v3,10,44,21.66,24,23.4
1984,v3,10,45,21.54,23,14.6
1984,v3,10,46,22.32,24,16.8
1984,v3,10,47,21.95,23,10.5
1984,v3,10,48,21.57,23,14.3
1984,v3,10,49,21.2,23,18.0
1984,v3,11,0,15.68,18,23.2
1984,v3,11,1,15.31,17,16.9
1984,v3,11,2,14.94,17,20.6
1984,v3,11,3,15.68,18,23.2
1984,v3,11,4,15.42,18,25.8
1984,v3,11,5,15.16,18,28.4
1984,v3,11,6,14.9,18,31.0
1984,v3,11,7,14.64,17,23.6
1984,v3,11,8,15.38,19,36.2
1984,v3,11,9,15.11,18,28.9
1984,v3,11,10,14.85,18,31.5
1984,v3,11,11,14.59,18,34.1
1984,v3,11,12,14.33,17,26.7
1984,v3,11,13,14.07,17,29.3
1984,v3,11,14,14.81,18,31.9
1984,v3,11,15,14.55,18,34.5
1984,v3,11,16,14.29,18,37.1
1984,v3,11,17,14.03,17,29.7
1984,v3,11,18,13.85,17,31.5
1984,v3,11,19,14.69,18,33.1
1984,v3,11,20,14.54,18,34.6
1984,v3,11,21,14.38,18,36.2
1984,v3,11,22,14.22,18,37.8
1984,v3,11,23,14.06,17,29.4
1984,v3,11,24,13.91,17,30.9
1984,v3,11,25,14.75,18,32.5
1984,v3,11,26,14.59,18,34.1
1984,v3,11,27,14.43,18,35.7
1984,v3,11,28,14.28,17,27.2
1984,v3,11,29,14.12,17,28.8
1984,v3,11,30,14.96,18,30.4
1984,v3,11,31,14.8,18,32.0
1984,v3,11,32,14.65,18,33.5
1984,v3,11,33,14.49,18,35.1
1984,v3,11,34,14.33,18,36.7
1984,v3,11,35,14.18,17,28.2
1984,v3,11,36,15.03,18,29.7
1984,v3,11,37,14.88,18,31.2
1984,v3,11,38,14.72,18,32.8
1984,v3,11,39,14.57,18,34.3
1984,v3,11,40,14.42,18,35.8
1984,v3,11,41,15.27,19,37.3
1984,v3,11,42,15.12,19,38.8
1984,v3,11,43,14.97,19,40.3
1984,v3,11,44,14.82,19,41.8
1984,v3,11,45,14.67,19,43.3
1984,v3,11,46,14.52,19,44.8
1984,v3,11,47,15.37,19,36.3
1984,v3,11,48,15.21,19,37.9
1984,v3,11,49,15.06,19,39.4
1984,v3,12,0,15.85,20,41.5
1984,v3,12,1,15.7,20,43.0
1984,v3,12,2,15.55,20,44.5
1984,v3,12,3,15.4,19,36.0
1984,v3,12,4,15.25,19,37.5
1984,v3,12,5,15.1,19,39.0
1984,v3,12,6,15.95,20,40.5
1984,v3,12,7,15.8,20,42.0
1984,v3,12,8,15.64,19,33.6
1984,v3,12,9,15.49,19,35.1
1984,v3,12,10,15.34,19,36.6
1984,v3,12,11,15.19,19,38.1
1984,v3,12,12,15.04,19,39.6
1984,v3,12,13,15.89,19,31.1
1984,v3,12,14,15.74,19,32.6
1984,v3,12,15,15.59,19,34.1
1984,v3,12,16,15.44,19,35.6
1984,v3,12,17,15.28,19,37.2
1984,v3,12,18,15.13,18,28.7
1984,v3,12,19,15.98,19,30.2
1984,v3,12,20,15.83,19,31.7
1984,v3,12,21,15.68,19,33.2
1984,v3,12,22,15.53,19,34.7
1984,v3,12,23,15.39,19,36.1
1984,v3,12,24,15.3,19,37.0
1984,v3,12,25,15.22,18,27.8
1984,v3,12,26,16.14,19,28.6
1984,v3,12,27,16.05,19,29.5
1984,v3,12,28,15.97,19,30.3
1984,v3,12,29,15.89,19,31.1
1984,v3,12,30,15.8,19,32.0
1984,v3,12,31,15.72,19,32.8
1984,v3,12,32,15.64,19,33.6
1984,v3,12,33,16.55,19,24.5
1984,v3,12,34,16.47,19,25.3
1984,v3,12,35,16.39,19,26.1
1984,v3,12,36,16.3,19,27.0
1984,v3,12,37,16.22,19,27.8
1984,v3,12,38,16.14,19,28.6
1984,v3,12,39,17.05,19,19.5
1984,v3,12,40,16.97,19,20.3
1984,v3,12,41,16.89,19,21.1
1984,v3,12,42,16.8,19,22.0
1984,v3,12,43,16.64,19,23.6
1984,v3,12,44,16.49,19,25.1
1984,v3,12,45,16.33,19,26.7
1984,v3,12,46,17.18,20,28.2
1984,v3,12,47,17.02,19,19.8
1984,v3,12,48,16.87,19,21.3
1984,v3,12,49,16.72,19,22.8
1984,v3,13,0,21.15,23,18.5
1984,v3,13,1,20.99,23,20.1
1984,v3,13,2,20.84,23,21.6
1984,v3,13,3,20.68,23,23.2
1984,v3,13,4,20.53,23,24.7
1984,v3,13,5,20.37,23,26.3
1984,v3,13,6,20.98,23,20.2
1984,v3,13,7,20.53,24,34.7
1984,v3,13,8,20.09,23,29.1
1984,v3,13,9,19.65,23,33.5
1984,v3,13,10,19.21,23,37.9
1984,v3,13,11,18.93,23,40.7
1984,v3,13,12,18.84,23,41.6
1984,v3,13,13,19.76,23,32.4
1984,v3,13,14,19.68,23,33.2
1984,v3,13,15,19.59,23,34.1
1984,v3,13,16,19.51,23,34.9
1984,v3,13,17,19.42,23,35.8
1984,v3,13,18,19.34,23,36.6
1984,v3,13,19,19.25,24,47.5
1984,v3,13,20,20.17,25,48.3
1984,v3,13,21,20.09,25,49.1
1984,v3,13,22,20.0,25,50.0
1984,v3,13,23,19.92,24,40.8
1984,v3,13,24,19.83,24,41.7
1984,v3,13,25,19.75,24,42.5
1984,v3,13,26,20.64,25,43.6
1984,v3,13,27,20.47,25,45.3
1984,v3,13,28,20.31,25,46.9
1984,v3,13,29,20.14,25,48.6
1984,v3,13,30,19.98,25,50.2
1984,v3,13,31,19.81,24,41.9
1984,v3,13,32,19.65,24,43.5
1984,v3,13,33,20.48,25,45.2
1984,v3,13,34,20.32,25,46.8
1984,v3,13,35,20.15,25,48.5
1984,v3,13,36,19.99,25,50.1
1984,v3,13,37,19.82,25,51.8
1984,v3,13,38,19.65,25,53.5
1984,v3,13,39,19.49,25,55.1
1984,v3,13,40,20.32,25,46.8
1984,v3,13,41,20.16,22,18.4
1984,v3,13,42,20.0,25,50.0
1984,v3,13,43,19.94,25,50.6
1984,v3,13,44,19.89,22,21.1
1984,v3,13,45,19.83,22,21.7
1984,v3,13,46,20.77,26,52.3
1984,v3,13,47,20.72,26,52.8
1984,v3,13,48,20.62,25,43.8
1984,v3,13,49,20.4,22,16.0
1984,v3,14,0,21.62,27,53.8
1984,v3,14,1,21.41,27,55.9
1984,v3,14,2,22.21,24,17.9
1984,v3,14,3,22.08,24,19.2
1984,v3,14,4,21.95,24,20.5
1984,v3,14,5,21.83,24,21.7
1984,v3,14,6,21.7,27,53.0
1984,v3,14,7,22.57,27,44.3
1984,v3,14,8,22.44,27,45.6
1984,v3,14,9,22.32,24,16.8
1984,v3,14,10,22.19,24,18.1
