domain,dom_lrr_p1,dom_lrr_p2,dom_lrr_full,dom_r2_p1,dom_r2_p2,dom_r2_full,dom_n_p1,dom_n_p2,dom_n_full,dom_sc_p1,dom_sc_p2,dom_var_p1,dom_var_p2,dom_var_full,txn_lrr_p1,txn_lrr_p2,txn_class,trajectory,high_var
59,0.20879870129870118,0.3059740259740259,0.21077961672473863,0.03564866015928467,0.03818988085434055,0.08538387705931606,21,21,41,0.2,0.0,6.575965810232983,9.298026838089827,8.162517383842783,0.2212012987012987,0.3276298701298702,Persistently Stable,Persistently Stable,False
60,0.9804545454545456,-0.7281818181818183,-0.11128048780487802,0.42353976875410704,0.2220859699126362,0.019270479837148618,21,21,41,0.0,0.0,6.926291378906336,8.252409810277685,9.393153037649137,0.941948051948052,-0.7272727272727275,Persistently Stable,Persistently Stable,False
61,1.5578571428571428,-1.5576623376623377,-0.26687282229965165,0.719313599548322,0.7373165857529976,0.07347660785090142,21,21,41,0.1,0.2,5.892707646011302,5.629869902268687,11.213004887898915,1.5730519480519483,-1.6127272727272726,Switching: Acc→Ero,Switching: Acc→Ero,False
62,1.5233441558441554,-2.094383116883117,-0.6148867595818815,0.3802786703974138,0.8488493899471814,0.20268884146820326,21,21,41,0.0,0.1,11.775544136728403,5.351573262773031,14.429728513747376,1.5373701298701299,-2.053441558441559,Switching: Acc→Ero,Switching: Acc→Ero,False
63,0.2827272727272728,-0.4643181818181817,-0.7873824041811847,0.017884852377220525,0.08940935414650907,0.36115228640456176,21,21,41,0.0,0.1,12.686503508203378,8.972666351645241,12.39091024700274,0.18103896103896105,-0.4383766233766235,Persistently Stable,Persistently Stable,False
64,-0.8729545454545453,0.41633116883116883,-0.7612979094076655,0.1896844938321113,0.060858599347407186,0.3644467854680639,21,21,41,0.1,0.1,10.925429167158642,9.903282266609065,11.89535898240938,-0.8140259740259738,0.3151623376623376,Persistently Stable,Persistently Stable,False
65,-1.3988961038961036,1.4192857142857143,-0.6263153310104527,0.4779273714946296,0.41792935588437696,0.2263931745210243,21,21,41,0.1,0.1,8.853310300541528,10.142428534427173,13.698895166618788,-1.4247402597402594,1.4715584415584413,Switching: Ero→Acc,Switching: Ero→Acc,False
66,-1.9057142857142857,3.2764935064935075,0.23675958188153312,0.5886440338010483,0.7922209926398455,0.021500229780903855,21,21,41,0.3,0.1,9.64663911725232,10.160677970958373,18.89863317873743,-1.921883116883116,3.2955194805194807,Switching: Ero→Acc,Switching: Ero→Acc,True
67,-1.0563311688311687,3.032954545454545,1.2399390243902442,0.38086427124522854,0.8397631988597172,0.4938443958128682,21,21,41,0.1,0.1,8.155369194848706,8.022400342073714,14.852901691339246,-1.0025324675324674,3.084902597402597,Switching: Ero→Acc,Switching: Ero→Acc,False
68,-0.22301948051948053,1.2558766233766232,1.6342857142857146,0.024501162133050623,0.31152399938964137,0.6757463518680006,21,21,41,0.1,0.1,8.521156686659527,11.305280439411908,13.394995834336317,-0.16772727272727272,1.3710389610389613,Accelerating Accretion,Accelerating Accretion,False
69,0.5761688311688314,0.6578246753246751,1.3296907665505224,0.120126396320211,0.12091067975100839,0.6593902950555218,21,21,41,0.1,0.1,9.442269589949028,10.740637169619896,11.307638203197254,0.5858766233766233,0.5345779220779221,Persistently Stable,Persistently Stable,False
70,0.3485714285714284,0.854577922077922,0.5882709059233447,0.09195901346711388,0.3488061947013864,0.49197050288077065,21,21,41,0.0,0.0,6.632588837993623,7.070504768793261,7.073206218935071,0.3511363636363636,0.8068506493506495,Persistently Stable,Persistently Stable,False
71,-0.43928571428571433,1.0851623376623378,0.2796733449477352,0.05697660370884932,0.5214692151787225,0.0967828450105461,21,21,41,0.2,0.1,10.821706476603383,6.29464194170678,10.109088326776456,-0.4646103896103895,1.0332142857142856,Accelerating Accretion,Accelerating Accretion,False
72,-0.9225649350649351,1.8487662337662334,0.3578702090592335,0.1973639301089417,0.6924227950086449,0.0984683620695456,21,21,41,0.0,0.3,11.265697953697394,7.461207368018847,12.812435557111582,-0.9172402597402596,1.8049675324675325,Accelerating Accretion,Accelerating Accretion,False
73,-0.9299999999999999,1.763636363636364,0.550548780487805,0.17187702146651104,0.43557481533402104,0.1601235794781679,21,21,41,0.1,0.1,12.361101485384415,12.156724404957515,14.919005434540859,-0.8975,1.8289935064935068,Accelerating Accretion,Accelerating Accretion,False
74,0.8322077922077921,-0.587922077922078,0.7351219512195121,0.1702843158070496,0.18217119688458305,0.37299991812867167,21,21,41,0.2,0.1,11.123586045518797,7.543047275714881,11.277240429086318,0.7260389610389612,-0.2412662337662338,Persistently Stable,Persistently Stable,False
75,2.3593831168831176,-1.6210389610389608,0.17191202090592336,0.6845248569821714,0.39663337165627,0.018058615681155958,21,21,41,0.2,0.3,9.698892460392344,12.106683401447738,14.999293997630703,2.282824675324675,-1.5641558441558439,Switching: Acc→Ero,Switching: Acc→Ero,False
76,1.114448051948052,-1.5888311688311691,-1.3511367595818817,0.060826771884440314,0.43457167819720877,0.315845601058003,21,21,41,0.1,0.3,26.51679385175669,10.97416626403495,23.528973094654813,0.9748376623376624,-1.6492857142857145,Accelerating Erosion,Switching: Acc→Ero,True
77,-4.399285714285714,-1.1794480519480521,-3.0765026132404176,0.5431704750329374,0.27283716608078223,0.7405967458737989,21,21,41,0.2,0.3,24.430192464548355,11.659464499383732,21.54359203467078,-4.584123376623377,-1.1169805194805194,Persistent Erosion,Persistent Erosion,True
78,-6.034577922077923,-2.125422077922078,-3.507439024390244,0.8999342995930808,0.4910636644243887,0.842465942096046,21,21,41,0.5,0.3,12.184840040032357,13.102185137319834,17.945898253598084,-6.13353896103896,-2.0142857142857142,Persistent Erosion,Persistent Erosion,True
79,-5.2341233766233755,-1.3865584415584413,-2.9320426829268293,0.8387746743889802,0.48983776520399275,0.812107533259074,21,21,41,0.6,0.0,13.895483007556484,8.568443061709178,16.68715194912721,-5.080584415584416,-1.414512987012987,Persistent Erosion,Persistent Erosion,True
