year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
2004,48,Avon-Tri-Village / Wimble Shoals,120.0,130.0,143.0,-10.0,-13.0,-23.0,300.0,0.07666666666666666,0.885,0.939,SCATTER_SETBACK(41m)
2004,49,Avon-Tri-Village / Wimble Shoals,130.0,130.0,129.0,0.0,1.0,1.0,270.0,0.003703703703703704,0.877,0.944,
2004,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,110.0,0.0,0.0,0.0,235.0,0.0,0.806,0.837,
2004,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,105.0,0.0,15.0,15.0,280.0,0.05357142857142857,0.802,0.817,
2004,52,Avon-Tri-Village / Wimble Shoals,95.0,90.0,101.0,5.0,-11.0,-6.0,245.0,0.024489795918367346,0.557,0.57,
2004,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,91.0,0.0,49.0,49.0,310.0,0.15806451612903225,0.622,0.587,
2004,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,106.0,0.0,44.0,44.0,375.0,0.11733333333333333,0.789,0.812,
2004,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,177.0,0.0,-17.0,-17.0,465.0,0.03655913978494624,0.773,0.801,
2004,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,199.0,0.0,-19.0,-19.0,320.0,0.059375,0.569,0.649,
2004,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,221.0,0.0,-21.0,-21.0,410.0,0.05121951219512195,0.551,0.58,
2004,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,258.0,0.0,-18.0,-18.0,515.0,0.03495145631067961,0.54,0.577,
2004,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,293.0,0.0,-23.0,-23.0,540.0,0.04259259259259259,0.532,0.555,
2004,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,328.0,0.0,-18.0,-18.0,590.0,0.030508474576271188,0.435,0.449,
2004,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,332.0,0.0,-2.0,-2.0,610.0,0.003278688524590164,0.6,0.578,
2004,62,Avon-Tri-Village / Wimble Shoals,350.0,325.0,338.0,25.0,-13.0,12.0,660.0,0.01818181818181818,0.544,0.55,
2004,63,Avon-Tri-Village / Wimble Shoals,350.0,330.0,342.0,20.0,-12.0,8.0,675.0,0.011851851851851851,0.597,0.625,
2004,64,Avon-Tri-Village / Wimble Shoals,370.0,300.0,347.0,70.0,-47.0,23.0,700.0,0.032857142857142856,0.653,0.69,
2004,65,Avon-Tri-Village / Wimble Shoals,370.0,360.0,352.0,10.0,8.0,18.0,690.0,0.02608695652173913,0.582,0.639,
2004,66,Avon-Tri-Village / Wimble Shoals,370.0,290.0,381.0,80.0,-91.0,-11.0,690.0,0.015942028985507246,0.47,0.536,
2004,67,Avon-Tri-Village / Wimble Shoals,420.0,345.0,453.0,75.0,-108.0,-33.0,710.0,0.04647887323943662,0.519,0.55,SCATTER_SETBACK(70m)
2004,68,Tri-Village,555.0,545.0,600.0,10.0,-55.0,-45.0,755.0,0.059602649006622516,0.586,0.643,SCATTER_SETBACK(101m)
2004,69,Tri-Village,560.0,560.0,555.0,0.0,5.0,5.0,780.0,0.00641025641025641,0.854,0.856,
2004,70,Tri-Village,480.0,470.0,437.0,10.0,33.0,43.0,770.0,0.05584415584415584,0.549,0.564,SCATTER_SETBACK(91m)
2004,71,Tri-Village,410.0,400.0,473.0,10.0,-73.0,-63.0,820.0,0.07682926829268293,0.258,0.299,SCATTER_SETBACK(51m)
2004,72,Tri-Village,490.0,480.0,530.0,10.0,-50.0,-40.0,810.0,0.04938271604938271,0.377,0.47,SCATTER_SETBACK(50m)
2004,73,Tri-Village,550.0,550.0,577.0,0.0,-27.0,-27.0,780.0,0.03461538461538462,0.514,0.591,SCATTER_SETBACK(41m)
2004,74,Tri-Village,600.0,595.0,590.0,5.0,5.0,10.0,750.0,0.013333333333333334,0.476,0.494,
2004,75,Tri-Village,540.0,540.0,534.0,0.0,6.0,6.0,720.0,0.008333333333333333,0.625,0.668,SCATTER_SETBACK(60m)
2004,76,Tri-Village,505.0,505.0,526.0,0.0,-21.0,-21.0,660.0,0.031818181818181815,0.542,0.634,
2004,77,Tri-Village,500.0,500.0,529.0,0.0,-29.0,-29.0,590.0,0.04915254237288136,0.393,0.481,
2004,78,Tri-Village,490.0,490.0,530.0,0.0,-40.0,-40.0,525.0,0.0761904761904762,0.497,0.534,"MOVED_SEAWARD(20m,sea0%,bay52%)"
2004,79,Tri-Village,500.0,500.0,526.0,0.0,-26.0,-26.0,650.0,0.04,0.584,0.612,"IN_WATER(36%),MOVED_SEAWARD(100m,sea36%,bay36%),BEYOND_MEASURED(min 480m)"
2004,80,Tri-Village,490.0,490.0,552.0,0.0,-62.0,-62.0,655.0,0.09465648854961832,0.59,0.625,"SCATTER_SETBACK(80m),MOVED_SEAWARD(50m,sea22%,bay36%)"
2004,81,Tri-Village,350.0,350.0,354.0,0.0,-4.0,-4.0,525.0,0.007619047619047619,0.652,0.723,SCATTER_SETBACK(171m)
2004,82,Tri-Village,115.0,115.0,196.0,0.0,-81.0,-81.0,500.0,0.162,0.747,0.781,SCATTER_SETBACK(111m)
2004,83,Tri-Village,60.0,60.0,115.0,0.0,-55.0,-55.0,490.0,0.11224489795918367,0.594,0.629,SCATTER_SETBACK(80m)
2004,84,Pea Island / N. Rodanthe,0.0,0.0,50.0,0.0,-50.0,-50.0,460.0,0.10869565217391304,0.841,0.881,SCATTER_ELEV(0.54)
2004,85,Pea Island / N. Rodanthe,50.0,30.0,85.0,20.0,-55.0,-35.0,460.0,0.07608695652173914,0.679,0.816,SCATTER_SETBACK(50m)
2004,86,Pea Island / N. Rodanthe,30.0,20.0,88.0,10.0,-68.0,-58.0,335.0,0.17313432835820897,0.62,0.687,
2004,87,Pea Island / N. Rodanthe,30.0,30.0,40.0,0.0,-10.0,-10.0,335.0,0.029850746268656716,0.749,0.799,SCATTER_SETBACK(50m)
2004,88,Pea Island / N. Rodanthe,110.0,110.0,121.0,0.0,-11.0,-11.0,420.0,0.02619047619047619,0.962,1.083,
2004,89,Pea Island / N. Rodanthe,160.0,160.0,185.0,0.0,-25.0,-25.0,620.0,0.04032258064516129,0.735,0.849,
2004,90,Pea Island / N. Rodanthe,150.0,150.0,176.0,0.0,-26.0,-26.0,750.0,0.034666666666666665,0.498,0.561,
