transect_id,domain_number,distance_m,match_method
usa_NC_0033_0158,36.0,0.0,point_in_polygon
usa_NC_0033_0159,36.0,0.0,point_in_polygon
usa_NC_0033_0160,36.0,0.0,point_in_polygon
usa_NC_0033_0161,36.0,0.0,point_in_polygon
usa_NC_0033_0162,36.0,0.0,point_in_polygon
usa_NC_0033_0163,36.0,0.0,point_in_polygon
usa_NC_0033_0164,36.0,0.0,point_in_polygon
usa_NC_0033_0165,36.0,0.0,point_in_polygon
usa_NC_0033_0166,36.0,0.0,point_in_polygon
usa_NC_0033_0167,37.0,0.0,point_in_polygon
usa_NC_0033_0168,37.0,0.0,point_in_polygon
usa_NC_0033_0169,37.0,0.0,point_in_polygon
usa_NC_0033_0170,37.0,0.0,point_in_polygon
usa_NC_0033_0171,37.0,0.0,point_in_polygon
usa_NC_0033_0172,37.0,0.0,point_in_polygon
usa_NC_0033_0173,37.0,0.0,point_in_polygon
usa_NC_0033_0174,37.0,0.0,point_in_polygon
usa_NC_0033_0175,37.0,0.0,point_in_polygon
usa_NC_0033_0176,37.0,0.0,point_in_polygon
usa_NC_0033_0177,37.0,0.0,point_in_polygon
usa_NC_0033_0178,38.0,0.0,point_in_polygon
usa_NC_0033_0179,38.0,0.0,point_in_polygon
usa_NC_0033_0180,38.0,0.0,point_in_polygon
usa_NC_0033_0181,38.0,0.0,point_in_polygon
usa_NC_0033_0182,38.0,0.0,point_in_polygon
usa_NC_0033_0183,38.0,0.0,point_in_polygon
usa_NC_0033_0184,38.0,0.0,point_in_polygon
usa_NC_0033_0185,38.0,0.0,point_in_polygon
usa_NC_0033_0186,38.0,0.0,point_in_polygon
usa_NC_0033_0187,38.0,0.0,point_in_polygon
usa_NC_0033_0188,39.0,0.0,point_in_polygon
usa_NC_0033_0189,39.0,0.0,point_in_polygon
usa_NC_0033_0190,39.0,0.0,point_in_polygon
usa_NC_0033_0191,39.0,0.0,point_in_polygon
usa_NC_0033_0192,39.0,0.0,point_in_polygon
usa_NC_0033_0193,39.0,0.0,point_in_polygon
usa_NC_0033_0194,39.0,0.0,point_in_polygon
usa_NC_0033_0195,39.0,0.0,point_in_polygon
usa_NC_0033_0196,39.0,0.0,point_in_polygon
usa_NC_0033_0197,39.0,0.0,point_in_polygon
usa_NC_0033_0198,40.0,0.0,point_in_polygon
usa_NC_0033_0199,40.0,0.0,point_in_polygon
usa_NC_0033_0200,40.0,0.0,point_in_polygon
usa_NC_0033_0201,40.0,0.0,point_in_polygon
usa_NC_0033_0202,40.0,0.0,point_in_polygon
usa_NC_0033_0203,40.0,0.0,point_in_polygon
usa_NC_0033_0204,40.0,0.0,point_in_polygon
