year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
2004,50,Avon-Tri-Village / Wimble Shoals,110.0,110.0,110.0,0.0,0.0,0.0,470.0,0.0,0.806,0.835,
2004,51,Avon-Tri-Village / Wimble Shoals,120.0,120.0,105.0,0.0,15.0,15.0,450.0,0.03333333333333333,0.802,0.817,
2004,52,Avon-Tri-Village / Wimble Shoals,95.0,90.0,101.0,5.0,-11.0,-6.0,470.0,0.01276595744680851,0.557,0.575,
2004,53,Avon-Tri-Village / Wimble Shoals,140.0,140.0,91.0,0.0,49.0,49.0,430.0,0.11395348837209303,0.622,0.588,
2004,54,Avon-Tri-Village / Wimble Shoals,150.0,150.0,106.0,0.0,44.0,44.0,950.0,0.04631578947368421,0.789,0.813,
2004,55,Avon-Tri-Village / Wimble Shoals,160.0,160.0,177.0,0.0,-17.0,-17.0,615.0,0.027642276422764227,0.773,0.801,
2004,56,Avon-Tri-Village / Wimble Shoals,180.0,180.0,199.0,0.0,-19.0,-19.0,670.0,0.028358208955223882,0.569,0.649,
2004,57,Avon-Tri-Village / Wimble Shoals,200.0,200.0,221.0,0.0,-21.0,-21.0,520.0,0.04038461538461539,0.551,0.58,
2004,58,Avon-Tri-Village / Wimble Shoals,240.0,240.0,258.0,0.0,-18.0,-18.0,650.0,0.027692307692307693,0.54,0.577,
2004,59,Avon-Tri-Village / Wimble Shoals,270.0,270.0,293.0,0.0,-23.0,-23.0,670.0,0.034328358208955224,0.532,0.555,
2004,60,Avon-Tri-Village / Wimble Shoals,310.0,310.0,328.0,0.0,-18.0,-18.0,950.0,0.018947368421052633,0.435,0.448,
2004,61,Avon-Tri-Village / Wimble Shoals,330.0,330.0,332.0,0.0,-2.0,-2.0,1110.0,0.0018018018018018018,0.6,0.578,
2004,62,Avon-Tri-Village / Wimble Shoals,330.0,325.0,338.0,5.0,-13.0,-8.0,1330.0,0.006015037593984963,0.544,0.549,
2004,63,Avon-Tri-Village / Wimble Shoals,330.0,330.0,342.0,0.0,-12.0,-12.0,1280.0,0.009375,0.597,0.626,SCATTER_SETBACK(50m)
2004,64,Avon-Tri-Village / Wimble Shoals,370.0,300.0,347.0,70.0,-47.0,23.0,1340.0,0.017164179104477612,0.653,0.691,
2004,65,Avon-Tri-Village / Wimble Shoals,370.0,370.0,352.0,0.0,18.0,18.0,1370.0,0.013138686131386862,0.582,0.639,
2004,66,Avon-Tri-Village / Wimble Shoals,380.0,335.0,381.0,45.0,-46.0,-1.0,1240.0,0.0008064516129032258,0.47,0.537,
2004,67,Avon-Tri-Village / Wimble Shoals,420.0,360.0,453.0,60.0,-93.0,-33.0,1210.0,0.02727272727272727,0.519,0.545,SCATTER_SETBACK(70m)
