domain,rows,cols,nodata_before,nodata_after,filled,cand_2008_coverage,dropped_connectivity,dropped_elev_floor,cand_below_mhw,bias_applied_m,bias_ring_m,bias_ring_cells,bias_overlap_m,bias_overlap_cells,seam_n,ctrl_n,seam_median_signed_m,seam_median_abs_m,seam_p90_abs_m,ctrl_median_abs_m,ctrl_p90_abs_m,seam_over_ctrl,fill_cells_in_window,snap_x_m,snap_y_m,trim_x_m,trim_y_m
74,500,2000,583780,466427,117353,238826,881,0,73431,0.0,0.1056,19016,-0.0778,734054,2324,2957000,-0.1947,0.5861,2.0773,0.0237,0.1026,24.695,972880,0.3469,0.4973,0.0,0.0
75,500,2000,600075,497356,102719,188002,0,0,75659,0.0,0.2978,10840,-0.0774,705277,1251,2864102,-0.3667,0.3919,0.8913,0.0225,0.1033,17.412,893279,0.3469,0.3846,0.0,0.0
76,500,2000,636460,429619,206841,429658,36,0,196581,0.0,0.2897,10403,-0.0825,635752,1194,2623506,-0.4248,0.4248,0.9642,0.0197,0.1001,21.545,1065410,0.3469,0.125,0.0,0.0
77,500,2000,676769,263149,413620,656843,0,0,355281,0.0,-0.1167,13133,-0.0868,563668,1480,2325794,0.1264,0.1811,1.0413,0.0182,0.0837,9.949,1220511,0.3469,0.2973,0.0,0.0
78,500,2000,687272,436669,250603,489098,0,0,214957,0.0,0.0143,18046,-0.0669,571730,2010,2317900,-0.1424,0.3628,1.2734,0.0236,0.0996,15.364,1060828,0.3469,0.3296,0.0,0.0
79,500,2000,682450,483989,198461,298884,2722,0,164026,0.0,0.1905,17237,-0.0837,592632,2011,2415004,-0.2706,0.3374,1.3034,0.0243,0.0966,13.912,891516,0.0546,0.3111,0.0,0.0
80,500,2000,671952,557936,114016,325569,65995,0,78432,0.0,-0.0998,17038,-0.1396,547030,1816,2231380,0.0262,0.2209,0.5781,0.0239,0.0935,9.248,872599,0.3298,0.0881,0.0,0.0
81,500,2000,696386,518245,178141,344778,38565,0,80227,0.0,-0.0897,13108,-0.158,521491,1369,2172182,0.0521,0.2012,0.5622,0.0227,0.0941,8.871,866269,0.2258,0.4882,0.0,0.0
82,500,2000,699659,501379,198280,386061,0,0,194526,0.0,0.2547,9013,-0.156,508110,1137,2143312,-0.372,0.372,0.5427,0.0239,0.0988,15.569,894171,0.0,0.0513,0.0,0.0
83,500,2000,725345,458215,267130,477856,4913,0,267130,0.0,0.3097,9610,-0.1538,454330,1256,1920134,-0.4059,0.4059,0.5606,0.0254,0.1042,15.99,932186,0.0,0.051,0.0,0.0
84,500,2000,741936,405059,336877,647274,10122,0,336877,0.0,0.2575,9598,-0.1439,455785,1252,1920248,-0.4079,0.4079,0.5758,0.0244,0.095,16.728,1103059,0.0,0.2237,0.0,0.0
85,500,2000,732853,187115,545738,1069926,6079,0,545738,0.0,0.2538,8988,-0.1506,453802,1109,1862728,-0.3581,0.3581,0.4864,0.0233,0.0868,15.346,1523728,0.4999,0.3596,0.0,0.0
86,500,2000,792915,54690,738225,1467329,0,0,738225,0.0,0.2568,9048,-0.1445,362621,1205,1498812,-0.3053,0.3053,0.4748,0.0224,0.0872,13.601,1829950,0.0,0.0101,0.0,0.0
87,500,2000,798518,73756,724762,1486991,0,0,724762,0.0,0.2517,10268,-0.1473,351017,1496,1438752,-0.3034,0.3034,0.5691,0.0234,0.0915,12.968,1838008,0.0,0.0,0.0,0.0
88,500,2000,752964,107691,645273,1324979,0,0,644140,0.0,0.1404,15188,-0.1632,458971,2083,1845210,-0.346,0.4156,1.6857,0.0268,0.1069,15.519,1783950,0.0,0.0144,0.0,0.0
89,500,2000,658114,94053,564061,1197561,0,0,553904,0.0,-0.3096,18253,-0.1662,612866,2353,2447788,0.0962,0.4662,1.8509,0.0262,0.1061,17.816,1810427,0.1033,0.3966,0.0,0.0
90,500,2000,595193,65834,529359,1145322,0,0,474006,0.0,-0.3849,19094,-0.1699,714379,2345,2853816,0.2863,0.4911,2.162,0.0244,0.1009,20.102,1859701,0.0,0.1036,0.0,0.0
