transect_id,domain_number,distance_m,match_method,northing_m
usa_NC_0038_0097,116,0.0,polygon_join,3956765.281
usa_NC_0038_0098,116,0.0,polygon_join,3956808.935
usa_NC_0038_0099,116,0.0,polygon_join,3956852.004
usa_NC_0038_0100,116,0.0,polygon_join,3956896.297
usa_NC_0038_0101,116,0.0,polygon_join,3956940.534
usa_NC_0038_0102,116,0.0,polygon_join,3956983.837
usa_NC_0038_0103,116,0.0,polygon_join,3957025.882
usa_NC_0038_0104,117,0.0,polygon_join,3957067.408
usa_NC_0038_0105,117,0.0,polygon_join,3957108.935
usa_NC_0038_0106,117,0.0,polygon_join,3957150.464
usa_NC_0038_0107,117,0.0,polygon_join,3957191.69
usa_NC_0038_0108,117,0.0,polygon_join,3957232.837
usa_NC_0038_0109,117,0.0,polygon_join,3957273.995
usa_NC_0038_0110,117,0.0,polygon_join,3957315.171
usa_NC_0038_0111,117,0.0,polygon_join,3957356.372
usa_NC_0038_0112,117,0.0,polygon_join,3957397.719
usa_NC_0038_0113,117,0.0,polygon_join,3957439.065
usa_NC_0038_0114,117,0.0,polygon_join,3957480.413
usa_NC_0038_0115,117,0.0,polygon_join,3957521.761
usa_NC_0038_0117,118,0.0,polygon_join,3957603.821
usa_NC_0038_0118,118,0.0,polygon_join,3957644.424
usa_NC_0038_0119,118,0.0,polygon_join,3957685.032
usa_NC_0038_0120,118,0.0,polygon_join,3957725.728
usa_NC_0038_0121,118,0.0,polygon_join,3957766.188
usa_NC_0038_0122,118,0.0,polygon_join,3957806.259
usa_NC_0038_0123,118,0.0,polygon_join,3957846.315
usa_NC_0038_0124,118,0.0,polygon_join,3957886.357
usa_NC_0038_0125,118,0.0,polygon_join,3957924.465
usa_NC_0038_0126,118,0.0,polygon_join,3957961.539
usa_NC_0038_0127,118,0.0,polygon_join,3957997.658
usa_NC_0038_0128,118,0.0,polygon_join,3958028.276
usa_NC_0038_0129,119,0.0,polygon_join,3958078.798
usa_NC_0038_0130,119,0.0,polygon_join,3958118.145
usa_NC_0038_0131,119,0.0,polygon_join,3958156.99
usa_NC_0038_0132,119,0.0,polygon_join,3958195.0
usa_NC_0038_0133,119,0.0,polygon_join,3958232.868
usa_NC_0038_0134,119,0.0,polygon_join,3958267.711
usa_NC_0038_0135,119,0.0,polygon_join,3958278.947
usa_NC_0038_0136,119,0.0,polygon_join,3958332.988
usa_NC_0038_0137,119,0.0,polygon_join,3958365.601
usa_NC_0038_0138,119,0.0,polygon_join,3958399.471
usa_NC_0038_0139,119,0.0,polygon_join,3958429.861
usa_NC_0038_0140,119,0.0,polygon_join,3958449.935
usa_NC_0038_0141,119,0.0,polygon_join,3958482.711
usa_NC_0038_0142,119,0.0,polygon_join,3958529.586
usa_NC_0038_0143,120,0.0,polygon_join,3958587.806
usa_NC_0038_0144,120,0.0,polygon_join,3958643.48
usa_NC_0038_0145,120,0.0,polygon_join,3958679.002
usa_NC_0038_0146,120,0.0,polygon_join,3958730.564
usa_NC_0038_0147,120,0.0,polygon_join,3958770.583
