transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_250,48,250,4084.518,4110.732,-26.215,-2.254,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_251,48,251,4083.971,4106.261,-22.29,-1.9165,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_252,48,252,4081.889,4094.338,-12.449,-1.0704,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_253,49,253,4079.098,4100.548,-21.45,-1.8443,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_254,49,254,4076.308,4082.639,-6.332,-0.5444,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_255,49,255,4063.799,4077.392,-13.593,-1.1687,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_256,49,256,4057.077,4065.681,-8.604,-0.7398,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_257,49,257,4055.804,4060.874,-5.07,-0.436,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_258,50,258,4051.305,4060.408,-9.103,-0.7827,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_259,50,259,4040.571,4057.096,-16.525,-1.4208,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_260,50,260,4026.132,4051.901,-25.769,-2.2157,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_261,50,261,4008.142,4034.617,-26.475,-2.2764,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_262,50,262,3999.533,4033.469,-33.936,-2.9179,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_263,51,263,3991.416,4027.042,-35.626,-3.0632,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_264,51,264,3983.594,4023.589,-39.995,-3.4388,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_265,51,265,3975.211,4014.382,-39.171,-3.368,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_266,51,266,3967.477,4001.112,-33.635,-2.892,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_267,51,267,3966.841,3986.312,-19.471,-1.6742,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_268,52,268,3952.824,3976.197,-23.373,-2.0096,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_269,52,269,3937.389,3966.754,-29.365,-2.5249,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_270,52,270,3932.126,3957.311,-25.186,-2.1655,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_271,52,271,3925.5,3947.869,-22.368,-1.9233,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_272,52,272,3911.654,3938.426,-26.772,-2.3019,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_273,53,273,3907.833,3928.986,-21.153,-1.8188,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_274,53,274,3897.707,3920.582,-22.876,-1.9669,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_275,53,275,3886.926,3911.292,-24.366,-2.095,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_276,53,276,3879.529,3900.92,-21.391,-1.8392,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_277,53,277,3873.197,3890.548,-17.351,-1.4919,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_278,54,278,3865.371,3874.639,-9.268,-0.7969,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_279,54,279,3855.687,3855.635,0.052,0.0045,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_280,54,280,3843.732,3850.164,-6.432,-0.553,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_281,54,281,3831.023,3830.587,0.436,0.0375,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_282,54,282,3815.489,3819.314,-3.826,-0.329,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_283,55,283,3796.324,3806.176,-9.852,-0.8471,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_284,55,284,3780.246,3792.9,-12.654,-1.088,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_285,55,285,3764.917,3778.207,-13.29,-1.1427,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_286,55,286,3751.741,3763.124,-11.384,-0.9788,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_287,55,287,3740.522,3750.65,-10.128,-0.8708,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_288,56,288,3729.469,3735.438,-5.969,-0.5133,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_289,56,289,3715.587,3720.529,-4.941,-0.4249,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_290,56,290,3702.393,3711.835,-9.442,-0.8119,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_291,56,291,3688.292,3694.208,-5.916,-0.5086,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_292,56,292,3687.401,3689.26,-1.86,-0.1599,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_293,57,293,3685.937,3679.728,6.209,0.5339,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_294,57,294,3651.176,3655.559,-4.383,-0.3768,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_295,57,295,3624.963,3635.503,-10.54,-0.9062,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_296,57,296,3608.647,3621.466,-12.819,-1.1022,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_297,57,297,3598.746,3608.16,-9.413,-0.8094,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_298,58,298,3579.117,3591.812,-12.695,-1.0915,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_299,58,299,3556.896,3569.817,-12.922,-1.111,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_300,58,300,3539.231,3546.68,-7.449,-0.6405,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_301,58,301,3519.075,3529.33,-10.255,-0.8817,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_302,58,302,3502.344,3511.255,-8.911,-0.7662,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_303,59,303,3489.415,3498.134,-8.72,-0.7497,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_304,59,304,3465.894,3478.752,-12.858,-1.1056,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_305,59,305,3447.945,3455.52,-7.575,-0.6513,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
