gis,year,free_v2_m,free_v3_m,free_v3_minus_v2_m,prescribed_v2_m,prescribed_v3_m,prescribed_v3_minus_v2_m
55,1990,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1991,170.0,181.6,11.599999999999994,170.0,181.6,11.599999999999994
55,1992,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1993,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1994,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1995,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1996,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1997,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1998,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
55,1999,160.0,171.6,11.599999999999994,160.0,171.6,11.599999999999994
