domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
21,-0.3908444796124646,-0.484,-1.026864947861362,0.0773593716676259,0.0108830034885278,0.4017274831009924,0.5613593716676258,1.104224319528988,0.0557615630890982,-0.0066221608205441,0.3842223187919205,0.5397615630890982,1.0826265109504603,0.0633372987680819,-0.0005178889109177,0.3903265907015469,0.5473372987680819,1.0902022466294439
22,-1.0547624636174988,-0.939,-1.292027318510796,-0.1665086214005506,-0.1121438784220865,0.9426185851954123,0.7724913785994494,1.1255186971102453,-0.1808064420951528,-0.1234107935239603,0.9313516700935385,0.7581935579048471,1.1112208764156433,-0.1758062101889663,-0.1194903088093599,0.9352721548081389,0.7631937898110337,1.1162211083218296
23,-1.439408598319583,-1.802,-1.5407136670179367,-0.3260731074182591,-0.2304618167467764,1.2089467815728066,1.4759268925817408,1.2146405595996774,-0.3354227019160264,-0.2376302217035317,1.2017783766160512,1.4665772980839735,1.2052909651019101,-0.3321613083089687,-0.235140570035259,1.204268028284324,1.4698386916910313,1.208552358708968
24,-1.3143181535841453,-2.923,-1.6586230058299685,-0.5038359037028256,-0.322467043187378,0.9918511103967673,2.4191640962971745,1.154787102127143,-0.5098734965704352,-0.3269745835408735,0.9873435700432718,2.413126503429565,1.1487495092595332,-0.5077720775395521,-0.325411685529359,0.9889064680547863,2.415227922460448,1.1508509282904162
25,-0.8040956439509367,-2.072,-1.6102022408528167,-0.4510182692878776,-0.329616186634952,0.4744794573159847,1.6209817307121224,1.1591839715649392,-0.4548701966117993,-0.332418808511354,0.47167683543958266,1.6171298033882007,1.1553320442410175,-0.4535321106160544,-0.3314485057153122,0.4726471382356245,1.6184678893839457,1.1566701302367624
26,-0.17722564441451225,-2.407,-1.3602992582696876,-0.3143125168261186,-0.2834576299549722,-0.10623198554045996,2.0926874831738815,1.0459867414435688,-0.3167411864290313,-0.2851812767519286,-0.10795563233741637,2.0902588135709688,1.0435580718406563,-0.3158989619821243,-0.2845853309648545,-0.10735968655034225,2.0911010380178756,1.0444002962875634
27,0.40183130712277093,-0.682,-0.8650235829264629,-0.1890525873142386,-0.2346179254644884,-0.6364492325872593,0.4929474126857615,0.6759709956122243,-0.190566231331104,-0.235666716185722,-0.6374980233084929,0.49143376866889604,0.6744573515953589,-0.1900421291289344,-0.2353045423486335,-0.6371358494714044,0.4919578708710657,0.6749814537975285
28,1.1186904004666465,-0.298,-0.18403374115921084,-0.1818711812033403,-0.2213948616109606,-1.3400852620776071,0.11612881879665968,0.00216255995587053,-0.1828038509246263,-0.2220263691769049,-1.3407167696435514,0.11519614907537368,0.0012298902345845297,-0.1824813587254539,-0.2218085366053052,-1.3404989370719518,0.11551864127454609,0.001552382433756938
29,1.744677465783807,0.165,0.4320404363190221,-0.2262810891475705,-0.239961142755905,-1.9846386085397119,-0.39128108914757054,-0.6583215254665926,-0.2268494948686046,-0.2403375826065548,-1.9850150483903617,-0.3918494948686046,-0.6588899311876267,-0.2266532018779149,-0.240207865939824,-1.9848853317236308,-0.3916532018779149,-0.658693638196937
30,2.024336442655875,2.328,0.8459959596720719,-0.1823359852076984,-0.259589701346332,-2.283926144002207,-2.510335985207698,-1.0283319448797703,-0.1826786944380468,-0.2598119035739158,-2.2841483462297907,-2.5106786944380466,-1.0286746541101186,-0.1825604787469014,-0.2597354074437182,-2.2840718500995933,-2.510560478746901,-1.0285564384189732
