domain,number_of_samples,road_1984_length_m,mean_relocation_m,median_relocation_m,minimum_relocation_m,maximum_relocation_m,std_relocation_m,mean_signed_landward_m,median_signed_landward_m,landward_fraction,sign_agreement,coincident_fraction,oblique_fraction,classification,flags
72,102,500.0551618586452,1.7119900268666884e-12,0.0,0.0,5.820766091346741e-11,9.834633959584015e-12,,,,,1.0,0.0,no_edit,NO_EDIT
73,102,500.05499490042706,1.1413266845777923e-12,0.0,0.0,5.820766091346741e-11,8.070398382141166e-12,,,,,1.0,0.0,no_edit,NO_EDIT
74,102,504.62263209325044,9.701276818911234e-12,0.0,0.0,5.820766091346741e-11,2.169271443562844e-11,,,,,1.0,0.0,no_edit,NO_EDIT
75,104,511.2402925966288,2.4066629031529792e-11,0.0,0.0,5.820766091346741e-11,2.8664604463627682e-11,,,,,1.0,0.0,no_edit,NO_EDIT
76,102,501.4527209294804,8.559950134333443e-12,0.0,0.0,5.820766091346741e-11,2.0615089826464398e-11,,,,,1.0,0.0,no_edit,NO_EDIT
77,102,500.0191623466808,1.7119900268666884e-12,0.0,0.0,5.820766091346741e-11,9.834633959584016e-12,,,,,1.0,0.0,no_edit,NO_EDIT
78,102,500.0405843919471,1.7119900268666884e-12,0.0,0.0,5.820766091346741e-11,9.834633959584015e-12,,,,,1.0,0.0,no_edit,NO_EDIT
79,104,511.45347866576407,2.4626318078774672e-11,0.0,0.0,5.820766091346741e-11,2.8757343934367863e-11,,,,,1.0,0.0,no_edit,NO_EDIT
80,102,501.3101668033596,7.41862344975565e-12,0.0,0.0,5.820766091346741e-11,1.941094393167963e-11,,,,,1.0,0.0,no_edit,NO_EDIT
81,106,523.0156401031579,2.7456443827107268e-11,0.0,0.0,5.820766091346741e-11,2.9057168901096136e-11,,,,,1.0,0.0,no_edit,NO_EDIT
82,104,510.19059494137406,1.3432537133877095e-11,0.0,0.0,5.820766091346741e-11,2.452434530916759e-11,,,,,1.0,0.0,no_edit,NO_EDIT
83,102,500.00337534403275,0.011276826872527094,0.0,0.0,0.3318192181573111,0.0542792272918994,,,,,1.0,0.0,no_edit,NO_EDIT
84,102,500.12944131949763,39.10478808554178,32.38121510484119,0.34411639282486367,99.72151949397167,32.70458736133936,39.87915380132471,33.5647499560027,1.0,1.0,0.0196078431372549,0.0,relocated,
85,106,521.4212607159097,108.74330284572585,109.2054898780319,93.23050966143397,123.74780597734147,10.858947856175792,108.74330284572585,109.2054898780319,1.0,1.0,0.0,0.0,relocated,
86,104,513.2493941267151,93.68702029231018,100.91081690662205,46.83025860469176,114.95333583845124,20.43807917299019,93.68702029231018,100.91081690662205,1.0,1.0,0.0,0.0,relocated,
87,107,529.1427705217885,11.849073408200034,5.170862702399666,0.003400673534356635,46.342860579555385,13.8894125706378,17.522922126241088,14.622315747851296,1.0,1.0,0.32710280373831774,0.0,relocated,
88,105,519.643952513722,0.01654082956283755,5.820766091346741e-11,0.0,0.18474273303758879,0.04665815958591775,,,,,1.0,0.0,no_edit,NO_EDIT
89,102,504.27595233612095,1.5978573584089094e-11,0.0,0.0,5.820766091346741e-11,2.5976154051002154e-11,,,,,1.0,0.0,no_edit,NO_EDIT
90,102,504.9366311213826,1.3695920214933507e-11,0.0,0.0,5.820766091346741e-11,2.469067129980327e-11,,,,,1.0,0.0,no_edit,NO_EDIT
